joint,rmse_deg,mae_deg,std_deg,max_abs_err_deg
1,0.4033594052901995,0.29131998423228034,0.39465315075160146,1.6432317935943381
2,0.25583765746993525,0.20866968458425428,0.2373317593640339,0.5957453377857832
3,0.41245959104086066,0.3117768224486753,0.3830361085437213,1.5718474497881891
AVG,0.35721888460033174,0.2705888304217366,0.3383403395531189,1.2702748603894367
