episode,payload_kg,time,optimal_mu,sigma_avg,e_deg_avg,de_deg_avg,tau_prev_avg,q_d_1_deg,q_1_deg,e_1_deg,sigma_1,dq_d_1_deg_s,dq_1_deg_s,de_1_deg_s,tau_1_Nm,q_d_2_deg,q_2_deg,e_2_deg,sigma_2,dq_d_2_deg_s,dq_2_deg_s,de_2_deg_s,tau_2_Nm,q_d_3_deg,q_3_deg,e_3_deg,sigma_3,dq_d_3_deg_s,dq_3_deg_s,de_3_deg_s,tau_3_Nm
0,0.8349816305020089,0.0,0.0010505050505050504,194.5386993092851,-0.11420315731966786,203.67495189485854,0.0,14.317925128462445,14.519287910161205,-0.20136278169876043,342.7935088512737,427.15212321802676,68.24959183085224,358.9025313871745,-32.515822680244014,24.609996676428988,24.73003774111862,-0.12004106468963124,204.58309286025508,255.21973672694642,41.03335869152086,214.18637803542558,-18.514634290354458,9.718590328906767,9.73979595447738,-0.021205625570611925,36.239496216326664,45.30028104917973,7.364334787204114,37.935946261975616,2.8873152616404187
0,0.8349816305020089,0.0040000000000000036,0.0010505050505050504,316.3095339920527,0.9650322065249499,239.1069574700567,17.97259074407963,17.73445668649491,16.028925584965037,1.7055311015298726,542.8904389269874,829.9747563871358,423.5268055825382,406.4479508045976,-65.54756096623315,26.650576440483665,25.632941566444035,1.0176348740396308,326.3878066228819,498.22486477484716,253.24784807513575,244.97701669971144,-39.87474517699362,10.08052732894398,9.908596684938633,0.17193064400534658,79.65035642628878,113.32280142135323,47.426896515492174,65.89590490586106,4.941419757597392
0,0.8349816305020089,0.008000000000000007,0.001404040404040404,80.8722482636051,1.0317052979654202,-1.664175573628512,36.78790863360805,20.957723179559533,19.20348120368199,1.7542419758775454,109.06610316109135,781.7661525495324,813.0394074586446,-31.273254909112275,-63.424645484130835,28.595795594627766,27.538413650527662,1.057381944100106,70.10009890928572,473.7884870483761,488.2789436670989,-14.490456618722753,-37.647131782151305,10.625172740277593,10.341680766358984,0.2834919739186094,63.45054272043825,154.55303047059132,113.78184566364185,40.77118480694949,4.1095120978621935
0,0.8349816305020089,0.01200000000000001,0.001303030303030303,94.27830479630825,0.9669044443302769,16.925949249886106,35.06042978804811,23.98858590689117,22.412094927988104,1.5764909789030652,134.56833236559407,734.02435627544,725.5753022220912,8.449054053348851,-59.94750576177024,30.440884336870674,29.48055941728618,0.9603249195844943,84.60157218194054,448.3500544521169,440.5744758369359,7.775578615180999,-35.144349417285845,11.31695157270871,10.95305413820544,0.36389743450327083,63.66500984139014,187.66999201620519,153.1167769350767,34.55321508112847,0.18447585919268783
0,0.8349816305020089,0.016000000000000014,0.0012525252525252524,92.0359472774482,0.9254520276340177,17.99978506672678,31.75877701274959,26.829918029763054,25.371788045308,1.4581299844550508,128.81389512883086,687.1655991847313,675.0021028123044,12.16349637242681,-57.48237323719826,32.1825960302447,31.28769127053263,0.8949047597120721,80.86203897881676,422.2429930035931,412.9733348017421,9.269658201850982,-32.80015723204414,12.126532676407235,11.703211337672304,0.4233213387349302,66.43190772469697,214.0901948609644,181.52399423506185,32.566200625902546,-2.538467842904571
0,0.8349816305020089,0.020000000000000018,0.001202020202020202,87.98400074512483,0.8851310260077239,17.173518664506922,30.940332770715656,29.485910700369022,28.134412601373334,1.3514980989956864,120.2945423730011,641.458061208725,629.2833667553788,12.17469445334618,-55.06290469553338,33.81882828089942,32.984897063177335,0.8339312177220868,75.27616186644896,395.71928386454067,387.1576194158587,8.561664448682011,-30.213033700965557,13.029673131596425,12.559709370291026,0.46996376130539846,68.38129799592446,234.9667961488122,204.1825990573196,30.784197091492572,-4.999386341569863
0,0.8349816305020089,0.02400000000000002,0.001101010101010101,83.79853018086774,0.8439474892617694,16.282731039926187,30.0917749126896,31.961582519432852,30.71020553299666,1.2513769864361919,111.91023741839133,597.0663309534411,585.2662524499452,11.800078503495985,-53.129913569864755,35.34835030116103,34.57379380855661,0.7745564926044199,69.58942986226705,368.97262797517527,361.3477175212618,7.624910453913456,-27.59785461763778,14.006267045597731,13.500358056853035,0.5059089887446966,69.89592326194484,251.23763524882048,221.81443108645135,29.42320416236912,-7.522953616594158
0,0.8349816305020089,0.028000000000000025,0.0010505050505050504,80.41578871980087,0.8014599046934059,16.298996344328398,29.41690726803223,34.26244134799655,33.10655282632382,1.1558885216727321,104.89504188794177,554.0844222188236,541.6604620647005,12.423960154123192,-50.41110879699906,36.77060930470082,36.05473642395812,0.715872880742702,64.57837473347284,342.15566766425286,334.8471233901962,7.308544274056689,-24.549050688067304,15.03957421358699,14.506955901922206,0.5326183116647837,71.773949537988,263.6666025829676,234.50211797816226,29.16448460480531,-9.741897797715552
0,0.8349816305020089,0.03200000000000003,0.0010505050505050504,76.17632555086931,0.759519323358028,15.414779682227078,28.234019094260635,36.394257897183444,35.32769869857028,1.0665591986131635,96.99608673645791,512.5597966305066,500.8884457831018,11.671350847404835,-47.14620659893832,38.08559564247505,37.4265084461566,0.6590871963184466,58.86084615778323,315.3927717713646,309.25890131905714,6.133870452307506,-21.297437323079464,16.115599866261473,15.562688291118999,0.5529115751424738,72.67204375836681,272.8779709897821,244.43885324281325,28.439117746968897,-11.680531672245255
0,0.8349816305020089,0.03600000000000003,0.0010505050505050504,71.07519031327534,0.7180190066749268,13.6336697792812,26.708058531421013,38.362919721040605,37.380506101863574,0.9824136191770291,88.2545656713195,472.5104875484284,462.8490114112712,9.661476137157164,-43.88932673945893,39.29375147887174,38.68992651051548,0.6038249683562589,52.50279975139152,288.78948152754265,284.59267924465183,4.196802282890817,-18.099679547723113,17.222597981505245,16.654779549013753,0.5678184324914923,72.46820551711501,279.38427129062404,252.3415403728284,27.04273091779562,-13.577925912790096
