joint,rmse_deg,mae_deg,std_deg,max_abs_err_deg
1,0.4325073939092839,0.3439450021635413,0.4323982216700263,1.4241766654621595
2,0.23519999168813005,0.17933010305084077,0.23455552968962468,0.6041193640138947
3,0.47360340274543405,0.39504366370644195,0.4734964119652058,1.48828338237818
AVG,0.380436929447616,0.3061062563069413,0.3801500544416189,1.1721931372847447
