time,optimal_mu,sigma_avg,e_deg_avg,de_deg_avg,tau_prev_avg,q_d_1_deg,q_1_deg,e_1_deg,sigma_1,dq_d_1_deg_s,dq_1_deg_s,de_1_deg_s,tau_1_Nm,q_d_2_deg,q_2_deg,e_2_deg,sigma_2,dq_d_2_deg_s,dq_2_deg_s,de_2_deg_s,tau_2_Nm,q_d_3_deg,q_3_deg,e_3_deg,sigma_3,dq_d_3_deg_s,dq_3_deg_s,de_3_deg_s,tau_3_Nm
0.0,0.001101010101010101,-138.64245914699785,0.06919329321925256,-144.17792260453805,0.0,33.15773341018989,33.012354794664176,0.14537861552571557,-291.6645280173325,-348.76488043954737,-45.470063180157595,-303.29481725938973,19.140241531984234,17.854710730200143,17.871692692339966,-0.016981962139821085,34.41342407964598,41.55194389152638,5.779962840694718,35.77198105083166,-5.374854883987825,29.674640183787258,29.595456957515395,0.07918322627186322,-158.67627350330707,-189.52683816798998,-24.51590656293384,-165.01093160505613,9.784670663083402
0.0040000000000000036,0.0010505050505050504,-202.19835040989634,-0.6765814885457875,-148.07183132623334,11.433255693018488,30.366027039659702,31.78648770849712,-1.4204606688374193,-434.7281505330647,-671.8613935353759,-350.7700965093048,-321.0912970260712,42.534030046600904,18.18627154062028,18.02102545445717,0.16524608616310793,59.20808539701366,88.65123563982782,42.66283713586279,45.98839850396502,-12.091388919069795,28.157004894068457,28.93153477703151,-0.774529882963051,-231.07498609363796,-359.1185092071948,-190.0059137506009,-169.11259545659388,21.70470206812424
0.008000000000000007,0.001404040404040404,-26.887845067569767,-0.6572083534114452,25.68882320534585,25.443373677931646,27.782842261906886,29.207018927369045,-1.4241766654621595,-76.62612042153212,-621.4808668342009,-658.7888796496416,37.308012815440634,39.78925295050671,18.563920615318768,18.36077923141935,0.20314138389941586,26.05602499489842,97.5589430459256,87.75422876298045,9.804714282945149,-11.625028887110895,26.8016921101297,27.552281888801293,-0.750589778671592,-30.09343977607559,-321.624661788196,-351.5784043058478,29.95374251765177,19.58039546901746
0.01200000000000001,0.0010505050505050504,-39.651918084269624,-0.558946098123915,5.063769765643576,23.664892435545017,25.39418010498609,26.64644135122473,-1.2522612462386369,-99.21377924336093,-574.4708310558052,-575.4379515115353,0.9671204557300289,38.53302492817246,18.966743084987684,18.754124990437834,0.21261809454984879,25.28132591305984,101.52392768251015,93.25204933343821,8.271878349071935,-12.237110046717957,25.58400759976289,26.221202742445847,-0.637195142682957,-45.0233009225078,-289.888207821537,-295.8405183136657,5.952310492128763,17.986403534113887
0.016000000000000014,0.001,-40.60500937085812,-0.4956460681729582,-0.9533239170214669,22.9188461696681,23.187075613460443,24.322385967450874,-1.1353103539904283,-99.71728295184607,-530.5849490905807,-521.6924944579689,-8.892454632611807,35.75330712955549,19.37611203677885,19.163029463463637,0.21308257331521085,24.14473112282645,101.09983632493815,94.00171106732859,7.09812525760958,-11.766653919518367,24.482586447557406,25.047296871401063,-0.564710423843657,-46.24247628355473,-263.1437374878817,-262.0780951118195,-1.065642376062174,16.282354411695472
0.020000000000000018,0.001,-38.81102731052587,-0.4468910465926818,-3.0597435831113287,21.26743848692311,21.149500512261447,22.187718056580223,-1.0382175443187767,-92.9465877745796,-489.59442299567985,-479.7052387666024,-9.889184229077467,32.86659834539621,19.77554177558719,19.568801567246457,0.2067402083407336,20.800438972485473,96.8069176636525,92.5456953584257,4.26122230522679,-10.988956274870006,23.478857699859837,23.988053503659838,-0.5091958038000023,-44.28693312948349,-240.74051797401623,-237.18924914853292,-3.5512688254833087,14.779101794256231
0.02400000000000002,0.001,-36.98604393961985,-0.40755441812465104,-4.381690489647769,19.544885471507484,19.270320229495006,20.221579328773437,-0.9512590992784304,-85.3341162122425,-451.2774491402816,-442.0440608703135,-9.233388269968074,30.141214786284145,20.15056737808807,19.95739039067502,0.19317698741304984,16.629680163112788,89.1368142563926,87.96129308632379,1.1755211700688029,-10.032494937144145,22.556662303765275,23.021243446273846,-0.4645811425085724,-42.25369576972983,-222.11059460746694,-217.0233902384229,-5.087204369044036,13.534198453651113
0.028000000000000025,0.001,-35.590858821675056,-0.37568312249929287,-5.536209021731627,17.902636059026467,17.539280919139195,18.41097840476754,-0.8716974856283465,-78.15059829784377,-415.41374855644005,-406.998949108864,-8.414799447576057,27.562787678619593,20.48863628963833,20.31549621423797,0.1731400754003579,12.04982674971545,78.55461707483879,80.35599635715198,-1.8013792823131807,-8.92046260043304,21.7019729430001,22.130464900269992,-0.4284919572698899,-40.67180491689684,-206.7475045905409,-200.35505625523527,-6.392448335305646,12.506188016938049
0.03200000000000003,0.001,-34.560157149225354,-0.35010185213245054,-6.552008978629311,16.329812765330228,15.947010241043486,16.745448969202226,-0.7984387281587412,-71.36702572196775,-381.78244700372784,-374.2905195344594,-7.491927469268456,25.128216749564857,20.77900431468678,20.63137650411963,0.1476278105671499,7.158037277025166,65.49953783731115,70.15172540565798,-4.652187568346827,-7.680376769739366,20.902682267040948,21.302176905846707,-0.39949463880576025,-39.47148300273347,-194.1919771931916,-186.68006529491896,-7.51191189827265,11.665541574561363
0.03600000000000003,0.001,-33.821278121018445,-0.3297997477575773,-7.437298300412258,14.824711697955195,14.485021343109372,15.215605039766581,-0.7305836966572109,-64.9287498651721,-350.1620942107617,-343.6800400781665,-6.482054132595222,22.83035015201063,21.01263259233682,20.895066731574477,0.1175658607623411,2.0389643584411656,50.38505565132782,57.75136015387394,-7.3663045025461225,-6.337786948533544,20.148437125454567,20.52481853283243,-0.3763814073778621,-38.574048856324396,-184.02234046142289,-175.55880419532747,-8.463536266095428,10.985544914781267
0.040000000000000036,0.001,-33.304998278560774,-0.31388445288000894,-8.194242048160056,13.384560671775148,13.145713487357392,13.813069632924307,-0.6673561455669156,-58.78177530270917,-320.33197538227273,-314.9386917249168,-5.393283657355922,20.659425099760174,21.1820847598974,21.098276643143585,0.08380811675381603,-3.229107970463243,33.59904926294432,43.53280657371285,-9.933757310768526,-4.916331389469135,19.430503543349563,19.788608873176493,-0.3581053298269273,-37.904111562509904,-175.8481564575761,-166.59247128122036,-9.255685176355723,10.441342809467965
0.04400000000000004,0.0010505050505050504,-32.94610838805015,-0.3015578638781267,-8.821479277800014,12.005699766232425,11.922365540051189,12.530437867334943,-0.6080723272837528,-52.87420577435431,-292.07413194153304,-287.84571234987897,-4.228419591654084,18.436093971895023,21.281424986440374,21.23428262399922,0.04714236244115199,-8.573854623255071,15.504187690078306,27.849431308625537,-12.345243618547231,-3.4479529459511356,18.74165187379396,19.08539550058574,-0.34374362679177933,-37.39026476654107,-169.30609906041678,-159.41532443721803,-9.890774623198727,9.893562111610382
0.04800000000000004,0.0010505050505050504,-32.324273301642954,-0.29235568680593205,-8.935818357168388,10.592536343152181,10.809120431825127,11.36171230111138,-0.5525918692862525,-46.608929095346326,-265.17570189247385,-262.7741223400277,-2.4015795524461274,16.514281729859672,21.30611826141803,21.29782904390544,0.008289217512586896,-13.80568736282362,-3.5613095814629245,10.907515182367646,-14.468824763830572,-1.9523899435972332,18.07605475086623,18.40881915951036,-0.3327644086441306,-36.55820344675892,-164.05739832805315,-154.1203475728247,-9.937050755228467,9.558898030598588
