e_deg,edot_deg,mu
-20.0,-20.0,0.002588012310340098
-20.0,-19.49367088607595,0.002588010638085919
-20.0,-18.9873417721519,0.002588008941275617
-20.0,-18.481012658227847,0.0025880072200299463
-20.0,-17.974683544303797,0.002588005474471272
-20.0,-17.468354430379748,0.0025880037047235514
-20.0,-16.962025316455694,0.002588001910912323
-20.0,-16.455696202531644,0.0025880000931646895
-20.0,-15.949367088607595,0.002587998251609304
-20.0,-15.443037974683545,0.0025879963863763527
-20.0,-14.936708860759493,0.002587994497597543
-20.0,-14.430379746835442,0.002587992585406085
-20.0,-13.924050632911392,0.0025879906499366775
-20.0,-13.417721518987342,0.0025879886913254928
-20.0,-12.91139240506329,0.0025879867097101565
-20.0,-12.40506329113924,0.002587984705229738
-20.0,-11.89873417721519,0.0025879826780247296
-20.0,-11.39240506329114,0.0025879806282370307
-20.0,-10.886075949367088,0.002587978556009933
-20.0,-10.379746835443036,0.002587976461488103
-20.0,-9.873417721518987,0.0025879743448175624
-20.0,-9.367088607594937,0.0025879722061456787
-20.0,-8.860759493670885,0.0025879700456211373
-20.0,-8.354430379746834,0.0025879678633939354
-20.0,-7.848101265822784,0.002587965659615356
-20.0,-7.341772151898734,0.0025879634344379556
-20.0,-6.835443037974683,0.0025879611880155447
-20.0,-6.329113924050631,0.002587958920503169
-20.0,-5.822784810126581,0.002587956632057096
-20.0,-5.3164556962025316,0.0025879543228347914
-20.0,-4.81012658227848,0.002587951992994905
-20.0,-4.3037974683544284,0.0025879496426972504
-20.0,-3.7974683544303787,0.0025879472721027884
-20.0,-3.291139240506329,0.002587944881373609
-20.0,-2.784810126582279,0.0025879424706729106
-20.0,-2.278481012658226,0.0025879400401649833
-20.0,-1.772151898734176,0.002587937590015189
-20.0,-1.2658227848101262,0.0025879351203899454
-20.0,-0.7594936708860729,0.0025879326314567045
-20.0,-0.2531645569620231,0.0025879301233839346
-20.0,0.25316455696202667,0.002587927596341101
-20.0,0.7594936708860764,0.0025879250504986487
-20.0,1.2658227848101262,0.00258792248602798
-20.0,1.7721518987341796,0.0025879199031014393
-20.0,2.2784810126582293,0.002587917301892291
-20.0,2.784810126582279,0.0025879146825747014
-20.0,3.2911392405063324,0.0025879120453237187
-20.0,3.797468354430382,0.0025879093903152543
-20.0,4.303797468354432,0.0025879067177260635
-20.0,4.810126582278482,0.002587904027733725
-20.0,5.3164556962025316,0.002587901320516621
-20.0,5.822784810126585,0.002587898596253919
-20.0,6.329113924050635,0.0025878958551255526
-20.0,6.835443037974684,0.0025878930973122004
-20.0,7.341772151898738,0.0025878903229952658
-20.0,7.8481012658227876,0.002587887532356857
-20.0,8.354430379746837,0.0025878847255797715
-20.0,8.860759493670887,0.0025878819028474706
-20.0,9.367088607594937,0.0025878790643440626
-20.0,9.87341772151899,0.002587876210254282
-20.0,10.37974683544304,0.0025878733407634705
-20.0,10.88607594936709,0.0025878704560575567
-20.0,11.392405063291143,0.0025878675563230347
-20.0,11.898734177215193,0.002587864641746947
-20.0,12.405063291139243,0.002587861712516861
-20.0,12.911392405063296,0.002587858768820854
-20.0,13.417721518987342,0.0025878558108474873
-20.0,13.924050632911396,0.0025878528387857907
-20.0,14.430379746835442,0.0025878498528252416
-20.0,14.936708860759495,0.0025878468531557427
-20.0,15.443037974683548,0.0025878438399676057
-20.0,15.949367088607595,0.0025878408134515293
-20.0,16.455696202531648,0.002587837773798579
-20.0,16.9620253164557,0.002587834721200169
-20.0,17.468354430379748,0.0025878316558480396
-20.0,17.9746835443038,0.002587828577934239
-20.0,18.481012658227854,0.0025878254876511063
-20.0,18.9873417721519,0.0025878223851912453
-20.0,19.493670886075954,0.0025878192707475102
-20.0,20.0,0.0025878161445129838
-19.49367088607595,-20.0,0.002588012310340098
-19.49367088607595,-19.49367088607595,0.002588010638085919
-19.49367088607595,-18.9873417721519,0.002588008941275617
-19.49367088607595,-18.481012658227847,0.0025880072200299463
-19.49367088607595,-17.974683544303797,0.002588005474471272
-19.49367088607595,-17.468354430379748,0.0025880037047235514
-19.49367088607595,-16.962025316455694,0.002588001910912323
-19.49367088607595,-16.455696202531644,0.0025880000931646895
-19.49367088607595,-15.949367088607595,0.002587998251609304
-19.49367088607595,-15.443037974683545,0.0025879963863763527
-19.49367088607595,-14.936708860759493,0.002587994497597543
-19.49367088607595,-14.430379746835442,0.002587992585406085
-19.49367088607595,-13.924050632911392,0.0025879906499366775
-19.49367088607595,-13.417721518987342,0.0025879886913254928
-19.49367088607595,-12.91139240506329,0.0025879867097101565
-19.49367088607595,-12.40506329113924,0.002587984705229738
-19.49367088607595,-11.89873417721519,0.0025879826780247296
-19.49367088607595,-11.39240506329114,0.0025879806282370307
-19.49367088607595,-10.886075949367088,0.002587978556009933
-19.49367088607595,-10.379746835443036,0.002587976461488103
-19.49367088607595,-9.873417721518987,0.0025879743448175624
-19.49367088607595,-9.367088607594937,0.0025879722061456787
-19.49367088607595,-8.860759493670885,0.0025879700456211373
-19.49367088607595,-8.354430379746834,0.0025879678633939354
-19.49367088607595,-7.848101265822784,0.002587965659615356
-19.49367088607595,-7.341772151898734,0.0025879634344379556
-19.49367088607595,-6.835443037974683,0.0025879611880155447
-19.49367088607595,-6.329113924050631,0.002587958920503169
-19.49367088607595,-5.822784810126581,0.002587956632057096
-19.49367088607595,-5.3164556962025316,0.0025879543228347914
-19.49367088607595,-4.81012658227848,0.002587951992994905
-19.49367088607595,-4.3037974683544284,0.0025879496426972504
-19.49367088607595,-3.7974683544303787,0.0025879472721027884
-19.49367088607595,-3.291139240506329,0.002587944881373609
-19.49367088607595,-2.784810126582279,0.0025879424706729106
-19.49367088607595,-2.278481012658226,0.0025879400401649833
-19.49367088607595,-1.772151898734176,0.002587937590015189
-19.49367088607595,-1.2658227848101262,0.0025879351203899454
-19.49367088607595,-0.7594936708860729,0.0025879326314567045
-19.49367088607595,-0.2531645569620231,0.0025879301233839346
-19.49367088607595,0.25316455696202667,0.002587927596341101
-19.49367088607595,0.7594936708860764,0.0025879250504986487
-19.49367088607595,1.2658227848101262,0.00258792248602798
-19.49367088607595,1.7721518987341796,0.0025879199031014393
-19.49367088607595,2.2784810126582293,0.002587917301892291
-19.49367088607595,2.784810126582279,0.0025879146825747014
-19.49367088607595,3.2911392405063324,0.0025879120453237187
-19.49367088607595,3.797468354430382,0.0025879093903152543
-19.49367088607595,4.303797468354432,0.0025879067177260635
-19.49367088607595,4.810126582278482,0.002587904027733725
-19.49367088607595,5.3164556962025316,0.002587901320516621
-19.49367088607595,5.822784810126585,0.002587898596253919
-19.49367088607595,6.329113924050635,0.0025878958551255526
-19.49367088607595,6.835443037974684,0.0025878930973122004
-19.49367088607595,7.341772151898738,0.0025878903229952658
-19.49367088607595,7.8481012658227876,0.002587887532356857
-19.49367088607595,8.354430379746837,0.0025878847255797715
-19.49367088607595,8.860759493670887,0.0025878819028474706
-19.49367088607595,9.367088607594937,0.0025878790643440626
-19.49367088607595,9.87341772151899,0.002587876210254282
-19.49367088607595,10.37974683544304,0.0025878733407634705
-19.49367088607595,10.88607594936709,0.0025878704560575567
-19.49367088607595,11.392405063291143,0.0025878675563230347
-19.49367088607595,11.898734177215193,0.002587864641746947
-19.49367088607595,12.405063291139243,0.002587861712516861
-19.49367088607595,12.911392405063296,0.002587858768820854
-19.49367088607595,13.417721518987342,0.0025878558108474873
-19.49367088607595,13.924050632911396,0.0025878528387857907
-19.49367088607595,14.430379746835442,0.0025878498528252416
-19.49367088607595,14.936708860759495,0.0025878468531557427
-19.49367088607595,15.443037974683548,0.0025878438399676057
-19.49367088607595,15.949367088607595,0.0025878408134515293
-19.49367088607595,16.455696202531648,0.002587837773798579
-19.49367088607595,16.9620253164557,0.002587834721200169
-19.49367088607595,17.468354430379748,0.0025878316558480396
-19.49367088607595,17.9746835443038,0.002587828577934239
-19.49367088607595,18.481012658227854,0.0025878254876511063
-19.49367088607595,18.9873417721519,0.0025878223851912453
-19.49367088607595,19.493670886075954,0.0025878192707475102
-19.49367088607595,20.0,0.0025878161445129838
-18.9873417721519,-20.0,0.002588012310340098
-18.9873417721519,-19.49367088607595,0.002588010638085919
-18.9873417721519,-18.9873417721519,0.002588008941275617
-18.9873417721519,-18.481012658227847,0.0025880072200299463
-18.9873417721519,-17.974683544303797,0.002588005474471272
-18.9873417721519,-17.468354430379748,0.0025880037047235514
-18.9873417721519,-16.962025316455694,0.002588001910912323
-18.9873417721519,-16.455696202531644,0.0025880000931646895
-18.9873417721519,-15.949367088607595,0.002587998251609304
-18.9873417721519,-15.443037974683545,0.0025879963863763527
-18.9873417721519,-14.936708860759493,0.002587994497597543
-18.9873417721519,-14.430379746835442,0.002587992585406085
-18.9873417721519,-13.924050632911392,0.0025879906499366775
-18.9873417721519,-13.417721518987342,0.0025879886913254928
