Time,e1,e2,e3,edot1,edot2,edot3,eta1,eta2,eta3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,-9.94837682810612e-05,-9.94837682810612e-05,-9.94837682810612e-05,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,650.0,650.0,650.0,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.0,0.0,0.0,0.0,0.0,-184.0,0.0,-7.165896722166769e-15,-184.0173703997271,0.0,-1.433179351732963e-14,-184.0000024755281,-0.16309821605682373,-0.13365040719509125,-0.1468685120344162,0.08692876994609833,-0.13826338946819305,0.037357721477746964
0.04,-9.94837682810612e-05,-9.94837682810612e-05,-9.94837682810612e-05,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,650.0,650.0,650.0,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.0,0.0,0.0,0.0,1.3888888888888888,-184.0,0.0,-7.165896722166769e-15,-184.0173703997271,0.0,1.388888929631816,-184.00000247525816,-0.16095612943172455,-0.13102474808692932,-0.1444878876209259,0.13066959381103516,-0.10975302010774612,0.04825766012072563
0.08,0.0008194851689040661,0.0026921171229332685,-0.0037192965392023325,-0.018834849819540977,0.4317493736743927,-0.0003814558149315417,650.0,650.0,650.0,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,0.36734694242477417,-0.36734694242477417,0.0,0.0,2.7777777777777777,-184.0,0.7044638353187561,1.2200035384114245,-184.01190244835163,0.0,2.7777778591786118,-184.00000247444999,0.4504912197589874,0.6412371397018433,-0.6603582501411438,1.1701420545578003,1.9698716402053833,-1.5490704774856567
0.12,-0.011025031097233295,-0.007278022821992636,-0.007278022821992636,-1.2245537042617798,-0.09958036988973618,-0.000398512784158811,650.0,650.0,650.0,1.264637646746067,-0.6174374392463308,-0.6174374392463308,1.4693877696990967,0.0,0.0,0.0,4.166666666666666,-184.0,0.0,3.2786099842531713,-185.48981376096114,0.0,4.166666788627427,-184.00000247310643,-0.9466132521629333,-0.582350492477417,-0.5691332817077637,-1.5837721824645996,-1.627350091934204,-1.4002074003219604
0.16,0.0028371941298246384,-0.010775662958621979,-0.010775662958621979,0.7104117274284363,-0.006728663109242916,-0.014211500994861126,650.0,650.0,650.0,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,1.1020407676696777,0.0,0.0,0.0,5.555555555555555,-184.0,0.0,2.4542543269909762,-185.12615727602827,0.0,5.555555717965612,-184.0000024712306,0.7703239321708679,-0.5986447930335999,-0.6266918182373047,1.2045843601226807,-2.1563873291015625,-1.5334482192993164
0.2,-0.008886894211173058,-0.001391134224832058,-0.01421396154910326,-0.3755997121334076,0.5675662159919739,-0.0009253151947632432,650.0,650.0,650.0,2.128546368772262,-1.0079325314075522,-1.0079325314075522,2.2040815353393555,-0.7346938848495483,0.0,0.0,6.944444444444445,-184.0,1.4200201135627648,5.736167204117687,-185.4237403902083,0.0,6.944444647180646,-184.00000246882576,-0.7964683175086975,0.7521580457687378,-0.6399053931236267,0.5200756788253784,0.2695261836051941,-0.8923577666282654
0.24,0.005092263221740723,-0.011179759167134762,-0.011179759167134762,0.6052868962287903,-0.003941258881241083,0.0017377142794430256,650.0,650.0,650.0,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,1.8367347717285156,-0.36734694242477417,-0.36734694242477417,0.0,8.333333333333332,-184.0,0.0,4.907452369763382,-185.07677552918344,0.0,8.333333576260197,-184.00000246589542,0.7447248101234436,-0.6145747303962708,-0.6343523263931274,-0.18331265449523926,-1.5681626796722412,-1.1114840507507324
0.28,-0.00010347366333007812,-0.0016748029738664627,-0.01449762936681509,-0.017636947333812714,0.6205684542655945,-0.001263024052605033,650.0,650.0,650.0,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,2.5714285373687744,-1.1020407676696777,-0.36734694242477417,0.0,9.722222222222221,-184.0,1.4171995987470007,7.358876693129092,-184.98914349969792,0.0,9.722222505192178,-184.00000246244346,-0.3808009922504425,0.7576979994773865,-0.6573492288589478,-1.2095794677734375,-0.23366832733154297,-1.0881388187408447
0.32,-0.0052451081573963165,0.001481570303440094,-0.017752669751644135,-0.725780725479126,0.8219475746154785,-0.001456172321923077,650.0,650.0,650.0,3.448966665596679,-1.5675957892444874,-1.5675957892444874,3.3061225414276123,-1.4693877696990967,-0.36734694242477417,0.0,11.11111111111111,-184.0,2.1295444490821436,9.418594619975062,-185.2647904317542,0.0,11.111111433964691,-184.0000024584738,-0.9887804388999939,1.647395372390747,-0.6753588318824768,2.06966495513916,-1.7283223867416382,-1.4877952337265015
0.36,-0.003917735069990158,-0.008125541731715202,-0.020948369055986404,-0.6014130711555481,-0.15620264410972595,-0.001216566888615489,650.0,650.0,650.0,3.895449361510757,-1.7471839477341022,-1.7471839477341022,3.6734695434570312,-1.1020407676696777,-0.36734694242477417,0.0,12.5,-184.0,1.425094053703671,9.866805943890144,-186.0042132902111,0.0,12.500000362566114,-184.0000024539906,-1.690692663192749,-0.6058644652366638,-0.5626881718635559,1.8410508632659912,-1.458863377571106,-1.6438971757888794
