Time,e1,e2,e3,edot1,edot2,edot3,eta1,eta2,eta3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,-9.94837682810612e-05,-9.94837682810612e-05,-9.94837682810612e-05,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,665.6418275963144,665.6418275963144,665.6418275963144,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.0,0.0,0.0,0.0,0.0,-184.0,0.0,-7.165896722166769e-15,-184.0173703997271,0.0,-1.433179351732963e-14,-184.0000024755281,-0.1585521697998047,-0.14305441081523895,-0.15615583956241608,-0.006594169419258833,-0.26204392313957214,0.13999776542186737
0.04,-9.94837682810612e-05,-9.94837682810612e-05,-9.94837682810612e-05,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,665.6418275963144,665.6418275963144,665.6418275963144,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.0,0.0,0.0,0.0,1.3888888888888888,-184.0,0.0,-7.165896722166769e-15,-184.0173703997271,0.0,1.388888929631816,-184.00000247525816,-0.15471439063549042,-0.14096885919570923,-0.15497729182243347,-0.15245383977890015,-0.27242225408554077,0.17790809273719788
0.08,0.0008194851689040661,-0.0037192965392023325,-0.0037192965392023325,-0.17009812593460083,-0.1339205652475357,-0.00811839010566473,675.1000665612297,672.832818046632,666.0145440999453,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,0.36734694242477417,0.0,0.0,0.0,2.7777777777777777,-184.0,0.0,0.8149462349152361,-184.3899101585922,0.0,2.7777778591786118,-184.00000247444999,-0.6550183296203613,-0.606234610080719,-0.5910806655883789,-1.0236787796020508,-1.8336498737335205,-0.923778235912323
0.12,-0.00461361650377512,-0.007278022821992636,-0.007278022821992636,-0.426750510931015,-0.5754605531692505,-0.017408223822712898,690.8106155693092,696.2122382612014,666.451489288898,1.264637646746067,-0.6174374392463308,-0.6174374392463308,1.1020407676696777,0.0,0.0,0.0,4.166666666666666,-184.0,0.0,2.4542543269909762,-185.12615727602827,0.0,4.166666788627427,-184.00000247310643,-0.7048293352127075,-1.7828855514526367,-0.5420606732368469,-2.4267101287841797,2.7235145568847656,-1.9916309118270874
0.16,0.0028371941298246384,-0.010775662958621979,-0.010775662958621979,0.08631818741559982,-0.5162724256515503,-0.10772550106048584,670.0344567859847,694.4774146810543,671.2634223843996,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,1.1020407676696777,0.0,0.0,0.0,5.555555555555555,-184.0,0.0,2.4542543269909762,-185.12615727602827,0.0,5.555555717965612,-184.0000024712306,0.5748260617256165,-1.815117359161377,-0.5905136466026306,-0.7281392812728882,2.0175909996032715,-1.9878730773925781
0.2,-0.0024754833430051804,-0.007802547886967659,-0.007802547886967659,-0.1612340658903122,0.4107232987880707,0.46557533740997314,674.5353781249621,690.0179281831529,692.5607042574494,2.128546368772262,-1.0079325314075522,-1.0079325314075522,1.8367347717285156,-0.36734694242477417,-0.36734694242477417,0.0,6.944444444444445,-184.0,0.0,4.907452369763382,-185.07677552918344,0.0,6.944444647180646,-184.00000246882576,-0.6649324893951416,-0.48168402910232544,-0.4613449275493622,-1.7453858852386475,-0.11317309737205505,0.5544695854187012
0.24,-0.0013191476464271545,-0.011179759167134762,-0.011179759167134762,-0.36328184604644775,-0.01310339942574501,-0.012917676009237766,687.4482256080083,666.247626929411,666.2388855289028,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,2.2040815353393555,-0.36734694242477417,-0.36734694242477417,0.0,8.333333333333332,-184.0,0.0,5.736200304428643,-185.42935014244094,0.0,8.333333576260197,-184.00000246589542,-0.7635669112205505,-0.6090577244758606,-0.6281105875968933,-0.21531513333320618,-1.7005164623260498,-0.8919585943222046
0.28,-0.00010347366333007812,-0.00808621570467949,-0.01449762936681509,0.022714413702487946,0.0218025092035532,-0.06260426342487335,666.706064354762,666.6620555714309,675.0307052668193,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,2.5714285373687744,-0.7346938848495483,-0.36734694242477417,0.0,9.722222222222221,-184.0,0.7099851037965121,6.96430788264712,-185.3854528614049,0.0,9.722222505192178,-184.00000246244346,-0.17579446732997894,-0.5887496471405029,-0.6357564926147461,-0.37679049372673035,-2.213843822479248,-1.5000953674316406
0.32,0.0011663064360618591,-0.004929844290018082,-0.017752669751644135,-0.3432883322238922,0.03928959369659424,-0.014057066291570663,686.2756813617633,667.5246055433457,687.2946664058821,3.448966665596679,-1.5675957892444874,-1.5675957892444874,2.9387755393981934,-1.1020407676696777,-0.36734694242477417,0.0,11.11111111111111,-184.0,1.4198546391789404,8.191809810228525,-185.33059635125807,0.0,11.111111433964691,-184.0000024584738,-0.740600049495697,-0.5747697353363037,-0.6063198447227478,-0.9402711391448975,-1.760412573814392,-1.7149217128753662
0.36,0.0024936795234680176,-0.008125541731715202,-0.014536954462528229,0.004239572212100029,-0.0336335189640522,0.013527601957321167,665.8354048087673,667.2413319624605,675.1919625898304,3.895449361510757,-1.7471839477341022,-1.7471839477341022,3.3061225414276123,-1.1020407676696777,-0.7346938848495483,0.0,12.5,-184.0,0.709870901888984,9.418782551396365,-185.27610465095677,0.0,12.500000362566114,-184.0000024539906,0.5322148203849792,-0.6353451609611511,-0.6564504504203796,1.9997243881225586,-2.2403135299682617,-1.6755430698394775
0.4,-0.0025379955768585205,-0.011260151863098145,-0.01767156459391117,-0.1456546187400818,-0.027524247765541077,-0.011250555515289307,673.5567515502999,666.9399607078105,687.0382087583284,4.3450146033180586,-1.9232848701482805,-1.9232848701482805,4.040816307067871,-1.1020407676696777,-0.7346938848495483,0.0,13.88888888888889,-184.0,0.7124584192362535,11.097808782889114,-185.93860114430734,0.0,13.888889290984979,-184.00000244899834,-0.6713037490844727,-0.5960433483123779,-0.6164201498031616,-1.018471121788025,-2.410676956176758,-1.675679326057434
0.44,-0.0011024102568626404,-0.007922261953353882,-0.020745089277625084,-0.33018335700035095,0.2922918498516083,-0.011120150797069073,685.482493966968,683.0997988250583,694.4015642535358,4.7976077297920146,-2.0958964969277063,-2.0958964969277063,4.408163070678711,-1.4693877696990967,-0.7346938848495483,0.0,15.277777777777777,-184.0,1.424674126893908,12.327796569938267,-185.8563611771245,0.0,15.277778219210072,-184.00000244350161,-0.7492812871932983,-0.4948607385158539,-0.6312844157218933,-0.7840620279312134,-1.661183476448059,-1.719956874847412
0.48,0.0003855302929878235,-0.010934703052043915,-0.023757530376315117,-0.30825695395469666,-0.07923497259616852,-0.012822901830077171,684.117927176943,669.6392879852306,697.7894944192192,5.253173196945098,-2.2650170345774976,-2.2650170345774976,4.775510311126709,-1.4693877696990967,-0.7346938848495483,0.0,16.666666666666664,-184.0,1.4271932251090251,13.17373979914464,-186.1772605130966,0.0,16.66666714723052,-184.00000243750526,-0.7593061327934265,-0.6363157629966736,-0.6407223343849182,-0.3501625657081604,-2.2716474533081055,-1.7582193613052368
0.52,0.008337259292602539,-0.007474638521671295,-0.026708880439400673,-0.305004358291626,0.106957346200943,-0.07494305819272995,683.9120069836517,671.2184535702935,699.1496773467526,5.711654620339391,-2.4306449530710497,-2.4306449530710497,4.775510311126709,-1.8367347717285156,-0.7346938848495483,0.0,18.055555555555554,-184.0,2.136582839039622,13.556773716702263,-185.76320148596454,0.0,18.055556075035568,-184.00000243101414,0.3116644620895386,-0.58145672082901,-0.6947652697563171,1.6278831958770752,-1.7799042463302612,-1.7645304203033447
