Time,e1,e2,e3,edot1,edot2,edot3,Kp1,Ki1,Kd1,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,-0.0065108975395560265,-0.0065108975395560265,-0.0065108975395560265,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,744.9126203241484,0.21105276039113519,0.006388636130596688,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.36734694242477417,0.36734694242477417,0.36734694242477417,0.0,0.0,-184.0,0.0,-7.16604903116765e-15,-185.1426677171004,0.0,-1.433179351732963e-14,-184.0000024755281,-0.09529028832912445,-0.09560663998126984,-0.09767822921276093,0.06112050265073776,-0.05317573621869087,-0.12185237556695938
0.04,-0.0065108975395560265,-0.0065108975395560265,-0.0065108975395560265,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,744.9126203241484,0.21105276039113519,0.006388636130596688,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.36734694242477417,0.36734694242477417,0.36734694242477417,0.0,1.3888888888888888,-184.0,0.0,-7.16604903116765e-15,-185.1426677171004,0.0,1.388888929631816,-184.00000247525816,-0.08664319664239883,-0.08944181352853775,-0.09470652043819427,-0.03329237550497055,0.0017122700810432434,0.09449061751365662
0.08,0.0008194851689040661,-0.01013070996850729,-0.01013070996850729,4.683876897448869e-11,-2.3129430662405248e-11,-2.3129430662405248e-11,744.912620319068,0.20895775024921723,0.006388636130596687,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,0.36734694242477417,0.36734694242477417,0.36734694242477417,0.0,2.7777777777777777,-184.0,0.0,-7.16604903116765e-15,-185.1426677171004,0.0,2.7777778591786118,-184.00000247444999,0.01710209995508194,-0.14503256976604462,-0.14930051565170288,0.5068550705909729,-0.09184945374727249,0.029692601412534714
0.12,0.0017977962270379066,-0.01368943601846695,-0.01368943601846695,-0.14331232011318207,-2.919946923141126e-11,-2.919946923141126e-11,709.2067388443892,0.18561070346204406,0.006388636130596687,1.264637646746067,-0.6174374392463308,-0.6174374392463308,0.7346938848495483,0.36734694242477417,0.36734694242477417,0.0,4.166666666666666,-184.0,0.0,0.8197731639068594,-185.51738634103066,0.0,4.166666788627427,-184.00000247310643,-0.05993849039077759,-0.19067935645580292,-0.191187784075737,1.014343500137329,0.00743523146957159,0.02710520103573799
0.16,0.009248606860637665,-0.017187077552080154,-0.017187077552080154,3.5043155877101384e-11,-1.6480280681796522e-11,-1.6480280681796522e-11,744.9126203203471,0.2087662744088652,0.006388636130596685,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,0.7346938848495483,0.36734694242477417,0.36734694242477417,0.0,5.555555555555555,-184.0,0.0,0.8197731639068594,-185.51738634103066,0.0,5.555555717965612,-184.0000024712306,0.08271985501050949,-0.2133628875017166,-0.21864540874958038,1.402547836303711,-0.003077816218137741,0.10687480866909027
0.2,0.003935931250452995,-0.01421396154910326,-0.02062537521123886,-0.785060465335846,0.12824556231498718,-1.378479361907603e-11,465.0608928029012,0.06249259829892911,0.006388636130596686,2.128546368772262,-1.0079325314075522,-1.0079325314075522,1.4693877696990967,0.0,0.36734694242477417,0.0,6.944444444444445,-184.0,0.7114193636751863,2.874545999154889,-185.87252666373195,0.0,6.944444647180646,-184.00000246882576,-0.21556881070137024,-0.14494068920612335,-0.26805222034454346,0.6836093068122864,0.0808115005493164,-0.16049674153327942
0.24,-0.0013191476464271545,-0.017591172829270363,-0.02400258556008339,-3.6638080928241834e-05,-1.1473857454424863e-11,-1.1508898868639594e-11,744.9086460057238,0.2091660637800833,0.006388636130596686,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,2.2040815353393555,0.0,0.36734694242477417,0.0,8.333333333333332,-184.0,0.7141779239068302,4.534451239824149,-186.59582661649125,0.0,8.333333576260197,-184.00000246589542,-0.022144636139273643,-0.1559639424085617,-0.20906253159046173,0.14378148317337036,0.08880278468132019,0.18062487244606018
0.28,-0.00010347366333007812,-0.02090904302895069,-0.02090904302895069,-0.0010224304860457778,-5.932798523289318e-12,2.5031876571546263e-09,744.8014317513796,0.20895495047346602,0.006388636130596687,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,2.5714285373687744,0.0,0.0,0.0,9.722222222222221,-184.0,0.0,5.770439439177291,-186.56260582370103,0.0,9.722222505192178,-184.00000246244346,-0.04715292900800705,-0.2827880084514618,-0.27401429414749146,0.7165454626083374,-0.0773407444357872,-0.09048700332641602
0.32,0.0011663064360618591,-0.02416408434510231,-0.02416408434510231,-1.2902647839041492e-08,-5.8386464066306765e-12,-5.8386464066306765e-12,744.9126189246637,0.20893554270755568,0.006388636130596687,3.448966665596679,-1.5675957892444874,-1.5675957892444874,2.9387755393981934,0.0,0.0,0.0,11.11111111111111,-184.0,0.0,6.607290860498563,-186.91405780554112,0.0,11.111111433964691,-184.0000024584738,0.0035608916077762842,-0.31023383140563965,-0.3153039813041687,0.4651317894458771,-0.4465751051902771,-0.3098202645778656
0.36,0.0024936795234680176,-0.02735978178679943,-0.02735978178679943,-2.3979213437996805e-05,-6.136502764264584e-12,-6.136502764264584e-12,744.9100192615524,0.20886892570229051,0.006388636130596687,3.895449361510757,-1.7471839477341022,-1.7471839477341022,3.3061225414276123,0.0,0.0,0.0,12.5,-184.0,0.0,7.4472560671002235,-187.26239356767093,0.0,12.500000362566114,-184.0000024539906,-0.009857012890279293,-0.3600226938724518,-0.356739342212677,0.5162645578384399,-0.6139581203460693,-0.45637246966362
