Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,-0.0065108975395560265,-0.0065108975395560265,-0.0065108975395560265,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,0.0018307793921119664,0.0018307793921119664,0.0018307793921119664,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.36734694242477417,0.36734694242477417,0.36734694242477417,0.0,0.0,-184.0,0.0,-7.16604903116765e-15,-185.1426677171004,0.0,-1.433179351732963e-14,-184.0000024755281,-0.3326951563358307,-0.3377751410007477,-0.3445540964603424,-0.8041630387306213,-0.6470096111297607,-0.3228433430194855
0.04,-0.0065108975395560265,-0.0065108975395560265,-0.0065108975395560265,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,0.0018307793921119664,0.0018307793921119664,0.0018307793921119664,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.36734694242477417,0.36734694242477417,0.36734694242477417,0.0,1.3888888888888888,-184.0,0.0,-7.16604903116765e-15,-185.1426677171004,0.0,1.388888929631816,-184.00000247525816,-0.3298034071922302,-0.3364188075065613,-0.34833642840385437,-1.0933232307434082,-0.8989889025688171,-0.3909345865249634
0.08,0.0008194851689040661,-0.01013070996850729,-0.01013070996850729,0.023149562999606133,-0.011431473307311535,-0.011431473307311535,0.0018360042037707002,0.0018285062708100414,0.0018285062708100414,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,0.36734694242477417,0.36734694242477417,0.36734694242477417,0.0,2.7777777777777777,-184.0,0.0,-7.16604903116765e-15,-185.1426677171004,0.0,2.7777778591786118,-184.00000247444999,-0.03190451115369797,-0.47383201122283936,-0.4857828617095947,-0.9008700251579285,-1.6670538187026978,-1.1369783878326416
0.12,0.008209209889173508,-0.007278022821992636,-0.007278022821992636,0.017605282366275787,0.004969383589923382,0.46221232414245605,0.001834671584707561,0.001831826187056517,0.002199487885690004,1.264637646746067,-0.6174374392463308,-0.6174374392463308,0.36734694242477417,0.0,0.0,0.0,4.166666666666666,-184.0,0.0,0.8149462349152361,-184.3899101585922,0.0,4.166666788627427,-184.00000247310643,0.22101706266403198,-0.3814719319343567,-0.09046952426433563,0.5180046558380127,-1.3955541849136353,-1.472963571548462
0.16,0.0028371941298246384,-0.010775662958621979,-0.010775662958621979,-0.05791797116398811,-0.051550403237342834,-0.05124563351273537,0.0018209679642149927,0.0018218609754546433,0.00182190469551128,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,1.1020407676696777,0.0,0.0,0.0,5.555555555555555,-184.0,0.0,2.4542543269909762,-185.12615727602827,0.0,5.555555717965612,-184.0000024712306,-0.07564666867256165,-0.5072508454322815,-0.44768983125686646,-0.9004102349281311,-1.557942509651184,-0.6178692579269409
0.2,0.003935931250452995,-0.01421396154910326,-0.01421396154910326,-0.06215176731348038,-0.005403423681855202,-0.005403218790888786,0.0018203980817708847,0.0018296821205275766,0.0018296821613472702,2.128546368772262,-1.0079325314075522,-1.0079325314075522,1.4693877696990967,0.0,0.0,0.0,6.944444444444445,-184.0,0.0,3.2786099842531713,-185.48981376096114,0.0,6.944444647180646,-184.00000246882576,0.03653714060783386,-0.6434847116470337,-0.6532265543937683,-0.1632102131843567,-1.6509560346603394,-1.1700421571731567
0.24,0.005092263221740723,-0.011179759167134762,-0.017591172829270363,0.012754777446389198,0.05356667563319206,-0.007088724058121443,0.0018335482870102692,0.0018443834234510219,0.0018293483479563336,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,1.8367347717285156,-0.36734694242477417,0.0,0.0,8.333333333333332,-184.0,0.7100359583314484,4.507599518278787,-185.46228034171793,0.0,8.333333576260197,-184.00000246589542,0.13209855556488037,-0.48527610301971436,-0.7938426733016968,0.05971613898873329,-0.744478702545166,-1.3571192026138306
0.28,-0.00010347366333007812,-0.01449762936681509,-0.01449762936681509,-0.1508851945400238,-0.01034658681601286,-0.003396294778212905,0.001811568641609094,0.0018287142351850554,0.0018300848337075995,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,2.5714285373687744,-0.36734694242477417,-0.36734694242477417,0.0,9.722222222222221,-184.0,0.0,6.568036212178172,-185.77887433312412,0.0,9.722222505192178,-184.00000246244346,-0.18800149857997894,-0.6345270276069641,-0.6412887573242188,-1.1765105724334717,-2.341259717941284,-1.7836065292358398
0.32,0.0011663064360618591,-0.011341257020831108,-0.017752669751644135,-0.5087628960609436,0.5222252607345581,-0.010313397273421288,0.0017985346933060674,0.002262740089997432,0.0018287206223498765,3.448966665596679,-1.5675957892444874,-1.5675957892444874,2.9387755393981934,-0.7346938848495483,-0.36734694242477417,0.0,11.11111111111111,-184.0,0.7113170834243866,7.7982433264703745,-185.72940523949794,0.0,11.111111433964691,-184.0000024584738,-0.43850356340408325,-0.1024961993098259,-0.7914623618125916,-0.5180234909057617,-1.4296698570251465,-1.7977964878082275
0.36,0.0024936795234680176,-0.014536954462528229,-0.014536954462528229,-0.10131687670946121,-0.008226234465837479,0.05350112542510033,0.0018158408972333137,0.0018291252910282772,0.0018443632266925325,3.895449361510757,-1.7471839477341022,-1.7471839477341022,3.3061225414276123,-0.7346938848495483,-0.7346938848495483,0.0,12.5,-184.0,0.0,9.027881426632844,-185.67462871839996,0.0,12.500000362566114,-184.0000024539906,-0.0534064956009388,-0.5339952111244202,-0.6235576272010803,-0.8995556235313416,-1.6858952045440674,-1.4198582172393799
