Time,e1,e2,e3,edot1,edot2,edot3,Kp,Ki,Kd,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,-0.0065108975395560265,-0.0065108975395560265,-0.0065108975395560265,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,1050.0,10,0.015,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.36734694242477417,0.36734694242477417,0.36734694242477417,0.0,0.0,-184.0,0.0,-7.16604903116765e-15,-185.1426677171004,0.0,-1.433179351732963e-14,-184.0000024755281,-0.15163099765777588,-0.12974832952022552,-0.14059822261333466,0.0022337213158607483,-0.24901650846004486,-0.04690045118331909
0.04,-0.0065108975395560265,-0.0065108975395560265,-0.0065108975395560265,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,1050.0,10,0.015,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.36734694242477417,0.36734694242477417,0.36734694242477417,0.0,1.3888888888888888,-184.0,0.0,-7.16604903116765e-15,-185.1426677171004,0.0,1.388888929631816,-184.00000247525816,-0.15855783224105835,-0.13503779470920563,-0.1432274580001831,0.19406062364578247,-0.10244665294885635,0.05939699709415436
0.08,0.0008194851689040661,-0.01013070996850729,-0.01013070996850729,8.654217208310666e-13,-4.2735365485095655e-13,-4.2735365485095655e-13,1050.0,10,0.015,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,0.36734694242477417,0.36734694242477417,0.36734694242477417,0.0,2.7777777777777777,-184.0,0.0,-7.16604903116765e-15,-185.1426677171004,0.0,2.7777778591786118,-184.00000247444999,-0.027366483584046364,-0.20363661646842957,-0.21252785623073578,0.260139524936676,-0.08414450287818909,0.15350127220153809
0.12,0.0017977962270379066,-0.01368943601846695,-0.01368943601846695,-2.727494756982196e-05,-4.700550387294611e-13,-4.700550387294611e-13,1050.0,10,0.015,1.264637646746067,-0.6174374392463308,-0.6174374392463308,0.7346938848495483,0.36734694242477417,0.36734694242477417,0.0,4.166666666666666,-184.0,0.0,0.8197731639068594,-185.51738634103066,0.0,4.166666788627427,-184.00000247310643,0.012698742561042309,-0.2634751498699188,-0.2711297273635864,0.6901328563690186,-0.39522892236709595,-0.30836251378059387
0.16,-0.0035742204636335373,-0.017187077552080154,-0.017187077552080154,-0.0007928324048407376,-3.9309495328959665e-13,-3.9309495328959665e-13,1050.0,10,0.015,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,1.4693877696990967,0.36734694242477417,0.36734694242477417,0.0,5.555555555555555,-184.0,0.0,2.4688308726753836,-186.25787907096574,0.0,5.555555717965612,-184.0000024712306,-0.09687123447656631,-0.31822091341018677,-0.3238341510295868,-0.09665929526090622,-0.6341139078140259,-0.49169260263442993
0.2,-0.0024754833430051804,-0.02062537521123886,-0.02062537521123886,-1.1271443334237574e-08,-3.515271027824257e-13,-3.515271027824257e-13,1050.0,10,0.015,2.128546368772262,-1.0079325314075522,-1.0079325314075522,1.8367347717285156,0.36734694242477417,0.36734694242477417,0.0,6.944444444444445,-184.0,0.0,3.2981086475700385,-186.6236013609632,0.0,6.944444647180646,-184.00000246882576,-0.08569009602069855,-0.3820234537124634,-0.39136844873428345,0.23708292841911316,-0.943345308303833,-0.6304375529289246
0.24,-0.0013191476464271545,-0.017591172829270363,-0.02400258556008339,-6.888808190552709e-09,0.008171845227479935,-3.4560687102967724e-13,1050.0,10,0.015,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,2.2040815353393555,0.0,0.36734694242477417,0.0,8.333333333333332,-184.0,0.7141779239068302,4.534451239824149,-186.59582661649125,0.0,8.333333576260197,-184.00000246589542,-0.06531302630901337,-0.32407185435295105,-0.44528377056121826,0.25765588879585266,-0.7061837315559387,-0.7401776909828186
0.28,0.0063079409301280975,-0.02090904302895069,-0.027320455759763718,4.811481074673551e-13,-2.0707175937047934e-13,-2.0930478216493048e-13,1050.0,10,0.015,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,2.2040815353393555,0.0,0.36734694242477417,0.0,9.722222222222221,-184.0,0.7141779239068302,4.534451239824149,-186.59582661649125,0.0,9.722222505192178,-184.00000246244346,0.06036075949668884,-0.384475976228714,-0.503115713596344,1.199790596961975,-0.9628015160560608,-0.9237289428710938
0.32,-0.0052451081573963165,-0.02416408434510231,-0.030575498938560486,-0.00012120815517846495,-2.2559837570094998e-13,-2.2559837570094998e-13,1050.0,10,0.015,3.448966665596679,-1.5675957892444874,-1.5675957892444874,3.3061225414276123,0.0,0.36734694242477417,0.0,11.11111111111111,-184.0,0.7182272152265421,7.047845308536788,-187.65768194484286,0.0,11.111111433964691,-184.0000024584738,-0.12962926924228668,-0.44085368514060974,-0.5623652935028076,0.11976950615644455,-1.163467288017273,-1.0781434774398804
0.36,-0.003917735069990158,-0.02735978178679943,-0.03377119451761246,-3.837344331181214e-11,-2.2171560377579058e-13,-2.217155360131548e-13,1050.0,10,0.015,3.895449361510757,-1.7471839477341022,-1.7471839477341022,3.6734695434570312,0.0,0.36734694242477417,0.0,12.5,-184.0,0.7195529631969076,7.891902532881456,-188.00536992544502,0.0,12.500000362566114,-184.0000024539906,-0.11344409734010696,-0.4944581985473633,-0.6176905632019043,0.313711553812027,-1.3297622203826904,-1.2151685953140259
0.4,0.0038734152913093567,-0.024082977324724197,-0.03690580651164055,6.346158407805058e-13,0.000710430380422622,-2.553249766560489e-13,1050.0,10,0.015,4.3450146033180586,-1.9232848701482805,-1.9232848701482805,3.6734695434570312,-0.36734694242477417,0.36734694242477417,0.0,13.88888888888889,-184.0,1.436270456194309,8.290217724822433,-187.6018528250753,0.0,13.888889290984979,-184.00000244899834,0.021145900711417198,-0.4380461871623993,-0.6716011166572571,1.2981722354888916,-1.4952962398529053,-1.6239583492279053
0.44,-0.0011024102568626404,-0.02715650200843811,-0.033567916601896286,-6.65075674533e-07,-1.9347899476128416e-13,3.866708721034229e-05,1050.0,10,0.015,4.7976077297920146,-2.0958964969277063,-2.0958964969277063,4.408163070678711,-0.36734694242477417,0.0,0.0,15.277777777777777,-184.0,0.7193372875743399,10.38040380157157,-187.8827229969476,0.0,15.277778219210072,-184.00000244350161,-0.05724747106432915,-0.48679879307746887,-0.6121608018875122,0.1537792831659317,-1.6744590997695923,-1.3730117082595825
0.48,0.0003855302929878235,-0.030168943107128143,-0.03658035770058632,-1.4097051304062802e-09,-1.5131809921829081e-13,-1.5131032006770323e-13,1050.0,10,0.015,5.253173196945098,-2.2650170345774976,-2.2650170345774976,4.775510311126709,-0.36734694242477417,0.0,0.0,16.666666666666664,-184.0,0.7206177146858087,11.2317250682199,-188.21585401749138,0.0,16.66666714723052,-184.00000243750526,-0.013253253884613514,-0.529841959476471,-0.6668368577957153,0.1174115240573883,-1.8948830366134644,-1.3249914646148682
0.52,0.0019258484244346619,-0.0331202931702137,-0.039531707763671875,-2.4764765385043574e-06,-1.3502786670900602e-13,-1.3502786670900602e-13,1050.0,10,0.015,5.711654620339391,-2.4306449530710497,-2.4306449530710497,5.142857074737549,-0.36734694242477417,0.0,0.0,18.055555555555554,-184.0,0.7218857530702714,12.086117649640192,-188.5457437151679,0.0,18.055556075035568,-184.00000243101414,0.015493758954107761,-0.58895343542099,-0.7190151810646057,0.42999857664108276,-1.7541520595550537,-1.4252675771713257
0.56,0.009928181767463684,-0.023187730461359024,-0.04242197051644325,4.299089025310704e-13,2.44887638092041,-1.5527366176680546e-13,1050.0,10,0.015,6.172994818480228,-2.5927789830078436,-2.5927789830078436,5.142857074737549,-1.1020407676696777,0.0,0.0,19.444444444444443,-184.0,2.1571023391541773,12.865602886903137,-187.71561154547015,0.0,19.4444450026149,-184.00000242403354,0.126270592212677,0.7389308214187622,-0.7777060866355896,1.2103406190872192,-1.3498907089233398,-1.4936918020248413
0.6,-0.0012548565864562988,-0.026018653064966202,-0.04525289312005043,-0.1461833119392395,4.725599794287716e-13,-1.9661204088416984e-13,1050.0,10,0.015,6.637135857208807,-2.7514181125285178,-2.7514181125285178,6.244897842407227,-1.1020407676696777,0.0,0.0,20.833333333333332,-184.0,2.168214405850648,15.440363273387266,-188.67083057636034,0.0,20.833333929958233,-184.00000241656872,-0.11988305300474167,-0.46255797147750854,-0.8214678168296814,0.22376564145088196,-1.4172099828720093,-1.7762954235076904
