Time,e1,e2,e3,edot1,edot2,edot3,eta1,eta2,eta3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,-9.94837682810612e-05,-9.94837682810612e-05,-9.94837682810612e-05,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,665.6418275963144,665.6418275963144,665.6418275963144,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.0,0.0,0.0,0.0,0.0,-184.0,0.0,-7.165896722166769e-15,-184.0173703997271,0.0,-1.433179351732963e-14,-184.0000024755281,-0.10953826457262039,-0.11167487502098083,-0.1112629845738411,-0.08023174852132797,0.025009453296661377,0.04409635439515114
0.04,-9.94837682810612e-05,-9.94837682810612e-05,-9.94837682810612e-05,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,665.6418275963144,665.6418275963144,665.6418275963144,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.0,0.0,0.0,0.0,1.3888888888888888,-184.0,0.0,-7.165896722166769e-15,-184.0173703997271,0.0,1.388888929631816,-184.00000247525816,-0.11025461554527283,-0.11309212446212769,-0.11253935843706131,-0.10850102454423904,0.05544693022966385,0.03326372802257538
0.08,0.0008194851689040661,0.0026921171229332685,-0.0037192965392023325,-0.2956051230430603,0.5072488784790039,-0.008732753805816174,683.3125508764992,694.1664251737109,666.043096222413,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,0.36734694242477417,-0.36734694242477417,0.0,0.0,2.7777777777777777,-184.0,0.7044638353187561,1.2200035384114245,-184.01190244835163,0.0,2.7777778591786118,-184.00000247444999,-0.7165401577949524,0.7645688056945801,-0.6099883913993835,-0.6162525415420532,1.6550730466842651,-0.40363362431526184
0.12,0.008209209889173508,-0.007278022821992636,-0.007278022821992636,-0.05612893030047417,-0.1634812355041504,-0.2258697897195816,668.3919785808923,674.6780289316908,678.741948463481,1.264637646746067,-0.6174374392463308,-0.6174374392463308,0.36734694242477417,0.0,0.0,0.0,4.166666666666666,-184.0,0.0,0.8149462349152361,-184.3899101585922,0.0,4.166666788627427,-184.00000247310643,0.5724029541015625,-0.6732231974601746,-0.6712122559547424,2.1583316326141357,-1.410443663597107,-1.074171781539917
0.16,0.0028371941298246384,-0.004364249296486378,-0.004364249296486378,-0.12436690926551819,0.5406572818756104,0.5028190612792969,672.2526163397091,695.2547131329843,694.009040518326,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,1.1020407676696777,-0.36734694242477417,-0.36734694242477417,0.0,5.555555555555555,-184.0,0.0,3.259232862391876,-184.36257617285935,0.0,5.555555717965612,-184.0000024712306,0.47151926159858704,0.696891725063324,0.6804779767990112,-0.4174543023109436,1.017310380935669,1.5813490152359009
0.2,0.003935931250452995,-0.007802547886967659,-0.01421396154910326,0.1479101926088333,-0.06287391483783722,-0.12376698851585388,673.6972546794505,668.7493528432123,673.8692484323905,2.128546368772262,-1.0079325314075522,-1.0079325314075522,1.4693877696990967,-0.36734694242477417,0.0,0.0,6.944444444444445,-184.0,0.7086600609008362,3.6810286853473597,-185.10416922290392,0.0,6.944444647180646,-184.00000246882576,0.5910556316375732,-0.6209418773651123,-0.6542611718177795,1.3753551244735718,-0.9424775838851929,-0.3846021890640259
0.24,0.005092263221740723,-0.004768345504999161,-0.004768345504999161,-0.32247698307037354,0.10843508690595627,0.7103773951530457,685.0078869756601,671.3050176465562,698.5521491859972,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,1.8367347717285156,-0.7346938848495483,-0.7346938848495483,0.0,8.333333333333332,-184.0,0.0,5.702175797178082,-184.30264028782165,0.0,8.333333576260197,-184.00000246589542,0.928783118724823,-0.6265324950218201,0.8225049376487732,-0.47588488459587097,-0.6782184839248657,-1.1417893171310425
0.28,-0.00010347366333007812,-0.00808621570467949,-0.00808621570467949,-0.15058282017707825,-0.1239003837108612,-0.3242362141609192,673.8642720706639,672.2245065418211,685.1167346157488,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,2.5714285373687744,-0.7346938848495483,-0.7346938848495483,0.0,9.722222222222221,-184.0,0.0,7.358930255795312,-184.99475925560185,0.0,9.722222505192178,-184.00000246244346,-0.6330426335334778,-0.6010867953300476,-0.7165936231613159,-1.0704976320266724,-1.134569764137268,0.24810361862182617
0.32,-0.0052451081573963165,-0.004929844290018082,-0.004929844290018082,-0.9690190553665161,0.1979963779449463,0.3634371757507324,699.8331660184178,676.9071121508207,687.4571435822338,3.448966665596679,-1.5675957892444874,-1.5675957892444874,3.3061225414276123,-1.1020407676696777,-1.1020407676696777,0.0,11.11111111111111,-184.0,0.0,9.808038231920069,-184.88036343430724,0.0,11.111111433964691,-184.0000024584738,-0.9147266745567322,-0.5021814107894897,-0.5530752539634705,-1.1825722455978394,0.2770730257034302,0.9881845712661743
0.36,-0.003917735069990158,-0.008125541731715202,-0.0017141271382570267,-0.713909387588501,-0.14369036257266998,0.2673291862010956,698.5905436148216,673.4347389524448,681.4774455582434,3.895449361510757,-1.7471839477341022,-1.7471839477341022,3.6734695434570312,-1.1020407676696777,-1.4693877696990967,0.0,12.5,-184.0,-0.7084153556621919,11.031474872770595,-184.80969134502027,0.0,12.500000362566114,-184.0000024539906,-0.9515435695648193,-0.6555137634277344,0.687356173992157,2.188645601272583,-1.8104451894760132,1.6287497282028198
